id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
d15eb678d1a2a686,"Well, you're very rude! I was only trying to get to know about your situation. I'm not a paedophile or anything like that, though I'm sure you doubt my motives in talking to you! Can't you just regress from your silly little persona for a moment or two? You aren't a doctor, you aren't a barrister; you're just a Wikipedia with too much time and not enough love! How tragic it sounds! That sounds too similar to my situation... woe is me!! Anyway, I've tried and I've failed. Tried is also an anagram for tired, that which I am. Goodnight MR JD_UK. (Remember what I have said though, please. Remove it if you will, I shan't care too much whilst I am in the land of nod, only to revert it back tomorrow anyway). Sleep well my pansy.",1,0,0,0,0,0
c0e5df91992b92a5,"I don't think I'd like to be on ArbCom. That might change someday, but right now its definitely not something I would want to do. Thanks for the vote of confidence all the same )",0,0,0,0,0,0
7508c0864cdc7d3b,"Links 

Sorry, but Soda; fire, students, and rivalry shouldn't be linked to the mainspace; it is not a really interesting subject, just probably a definition for these words. These words should be liked to the wiktionary. Use [[wiktionary:text|]] for definitions. ~~~~",0,0,0,0,0,0
731a415b78b5e1de,", cos its just retarded what you are assuming. nooblet",1,0,0,0,0,0
f264b7fb9a4b4f53,"stupid head 

YOur dumb and you are stupid die die die go suck a butt",1,0,1,1,1,0
f5fda3433fc5645d,"""

 Lies. 

You do realize that the genocide of the Jewish people by the Nazi's was never proven and is still not to this day? All people have is a few (hired) witness """"reports"""" and some black and white pictures that don't prove anything. In fact, anything and everything said about the Holocaust are just theories. Its insulting how prejudice Wikipedia can be!""",1,0,0,0,0,0
170eae27cc3175c7,"What an amazing coincidence the admin who deals with this complaint should also have military history listed as their areas of expertise. Nothing untoward going on here then.

It's c***s like you who ensure the information in wiki remains unreliable.",1,0,0,0,0,0
93d96b64ca74885f,"""create an account]]  and log in 'Due to persistent vandalism (), anonymous editing from your school, library, or educational institution's IP address  disabled. You will continue to have access to read the encyclopedia. If you are logged in but still unable to edit, please follow these instructions. To prevent abuse, account creation via this IP address might also be disabled.

If editing is required for class projects, please have your instructor or network administrator contact us (with reference to this IP address) at unblock-en-l from an email address listed on your school's website. Alternatively, if you have no Internet access at home, you may email us using your school-issued email address, telling us your preferred username. Or you may use the form here. An account will be created for you. Please check on [ this list] that the username you choose has not already been taken.

If this is a shared IP address, and you didn't make the edit, consider [[Wikipedia:Why create an account?|""",0,0,0,0,0,0
646fd5967ab2c55d,what the fuck who deleted the spider loc and hot rod sections fucking wikipedia stupid ass ignorant people can we get it back ?,1,0,1,0,1,0
a3c3a10e1be1ff92,"Worldwide View 

Why is the American view so prominent?  One exameple is the IPAed 'international' in both General American and Received Pronoucation?!?!",0,0,0,0,0,0
11760d52084a4777,Shut the hell up JeremyA stop posting nonsense.,1,0,1,0,1,0
9688e34d2307c956,"Shove that barnstar up your ass, you faggot.",1,0,1,0,1,0
63e092c6579b700a,"""

 RE: NAIR!!! 

Sorry Karl, I wasn't able to see your Mason article in time cuz they deleted it already b4 I got home from school today....oh well. And yes you are absolutely right we won't ever stop making fun of her......in fact, if anyone in our group of peeps refuses to make fun of her.......i shall kill them..... Higgins!!!!!!!! No more wh*r* who wont shut up about her taxes about which no one cares, no more NAIR-chinned old hag, no more hunchback Bailey obsessed geezer who says """"if ya want to........."""" and finally, no more pot-smoking sexist b*tch hippie with all her f*ck*ng """"awwwwwwwwwww""""s and """"so true..........""""s who if i ever see her this summer im gonna give her a taste of her own medicine and roll her up in piece of paper and light 'er up and smoke up the wazoo!!!!!!!!!!!!! HIPPIE!!!!!!!!!!!!!!!  """,1,0,1,1,1,1
e1e4f1ddf2eb9e85,"Guess I hit a nerve, huh? Are you dropping out of my the fanclub now?",0,0,0,0,0,0
3bc6a07eabfab609,"""

How many times have we had this discussion? Editors are not required to be """"neutral"""" between what is true/verifiable and what is false. Articles are not required to pretend that false ideas (e.g., homeopathy) are true. It is not a violation of NPOV to write articles about pseudoscience from a scientific perspective. This is well-trodden ground on this talk page.   """,0,0,0,0,0,0
e70b99b13e3952f2,hey chris wats up. ya wikipedia sux ass they deleted my pic.,1,0,1,0,1,0
62dbb88eb0711b7f,"Hey Riana

Does it suck to know that even strangers think you are a dried up old shrew? 66.77.102.10",1,0,1,0,1,0
60262961dba92539,pathetic specimens like yourself,1,0,0,0,1,0
fc53ba884aed25cd,"Stop reverting my edits

Please stop reverting my edits, you online stalker. Who do you think you are?",1,0,0,0,0,0
ed07f0da73b362b1,"I hate Season 4. If there's one thing I hate more than that, it's Paul Tibbit himself! 

Paul Tibbit is a fucking-ass little piece of smelly donkey shit that raped SpongeBob rock-hard!!! 
I hope Paul Tibbit gets fucking cancer and burns in hell!
PAUL TIBBIT IS A WEED-SMOKING BASTARD WHO COMPLETELY FUCKED UP SPONGEBOB!!!!
SpongeBob is a pile of crap now. I don't think I've ever hated a person more than I hate Paul Tibbit. Him and his piss-poor animation skills.
Yeh Tibbit is SUCH A HOMO!!!!
I hope he fucking dies!
What the motherfucking hell is up with people these days? Nick's people obviously smoked lots and LOTS of crack in 2004!
I love Old SPongeBob. New SpongeBob. I don't blame SB. I blame FUCKING PAUL TIBBIT!!!!  SCREW YOU PAUL!!!!
Thanks to that man-hag SpongeBob is completely f++ked up. 

Now, all Nick Studios cares about is money! And i Mean ONLY MONEY!!! They can do an episode where SpongeBob fucking laughs like a fucking pedophile for 20 minutes straight and NOT CARE AT ALL!!! All these people give a tinker's damn about is money, ratings, and fucking fame and fortune. These guys are like celebrities in disgize! They try hard yet put so little effort into their shows JUST to make a quick damned buck! The new episodes drive me nuts! Like Paul Tibbit even HAS any!!!> If I ever meet Paul in real life I swear to neptune I will cut off his large, hairy ball sack tare out his skull and feast on his insides for Thanksgiving!!!!

Nick's people these days are obviously on tons of marijuana! These drunk dunces have no idea in hell what cartoon quality is ALL ABOUT! It would've been WAY better if they just slaughtered this crappy series after the movie!!!! Why watch this shit anymore when Paul Tibbit DESTROYED SPONGEBOB!!!!!! Little do I understand the appeal of the new SpongeBob. I can't believe Paul Tibbit can actually get away with screwing around with a phenominal TV show like he's on freaking cocaine or something! P. Tibbit should be on trial and should get the death penalty is he's considered guilty. Sure there may be some people out there who like the new SpongeBob, but anyone that does may never understand the meaning of good quality. In conclusion, FUCK YOU PAUL TIBBIT!!! FUCK YOU! FUCK YOU!! FUCK YOU!!! 71.64.6.46",1,0,1,0,1,0
